VEND_NAME,ADDR_DC,LN_1_ADR,LN_2_ADR,LN_3_ADR,CITY_NAME,MAIL_STATE_DC,POSTAL_CD,VEND_APPRVL_CD,VEND_GRP_CD,lat,lon
CORNERSTONE SAFETY ,PMT 2,7234 MERLE SMITH LANE, , ,MECHANICSVILLE,VA,23111,A,SAFETY,,
CORNERSTONE SAFETY ,PMT1,3090 MAGNOLIA WOODS COURT, , ,QUINTON,VA,23141,A,SAFETY,,
"COVA SHIP REPAIR, INC.",ORD1,2131 CROMWELL ROAD, , ,NORFOLK,VA,23504,A,CRTCAL,,
COY LABORATORY,ORD1,14500 Coy Drive, , ,Grass Lake,MI,49240,A,CHAMBR,,
CR ELECTRICAL DISTRIBUTIO,ORD1,707 Alexander Lee Pkwy., , ,Williamsburg,VA,23185,A,CRTCAL,,
CR ELECTRICAL DISTRIBUTIO,REMIT,P.O. Box 37 , , ,Norge,VA,23127-0037,A,CRTCAL,,
CR ELECTRICAL DISTRIBUTIO,ORD1,707 ALEXNDER LEE PKWY, , ,WILLIAMSBURG,VA,23185,A,CRTCAL,,
CR MAGNETICS INC,ORD1,3500 Scarlet Oak Blvd., , ,St. Louis,MO,83122,A,CRTCAL,,
CRAFTECH INDUSTRIES ,ORD1,8 DOCK STREET, , ,HUDSON,NY,12534,A,HDW,,
CRATERS AND FREIGHTERS,ORD1/PMT1,713 FENWAY AVE ,SUITE A, ,CHESAPEAKE,VA,23323,A,CRTCAL,,
CRATERS AND FREIGHTERS,PMT 3,PO BOX 176, , ,PERKIOMENVILLE,PA,18074,A,CRTCAL,,
CRATERS AND FREIGHTERS,ORD2/PMT2,1461 N GRAVEL PIKE, , ,PERKIOMENVILLE,PA,18074,A,CRTCAL,,
CRATERS AND FREIGHTERS,ORD1,713 FENWAY AVENUE,SUITE A, ,CHESAPEAKE,VA,23323,A,CRTCAL,,
CREATIVE COATINGS COMPANY,ORD1,24650 Mound Road, , ,Warren,MI,48091,A,PAINT,,
CRESCENT ELECTRIC SUPPLY,ORD1,1867 CRESCENT WAY, , ,ROCKDALE,IL,60436,A,ELECTR,,
CRESCENT ELECTRIC SUPPLY,PMT1,DBA BA SUPPLY,P.O. BOX 500, ,EAST DUBUQUE,IL,61025,A,ELECTR,,
CREST FOODSERVICE EQUIPME,ORD1,605 JACK RABBIT ROAD, , ,VIRGINIA BEACH,VA,23451,A,EQUIP,,
CREST FOODSERVICE EQUIPME,PMT1,P.O. BOX 3367, , ,VIRGINIA BEACH,VA,23454,A,EQUIP,,
CRESTWOOD TECH GROUP,REMIT,200 Corporate Blvd. S, , ,YONKERS,NY,10701,A,HDW,,
CROFTON CONSTRUCTION SERV,ORD1,16 HARPER AVENUE, , ,PORTSMOUTH,VA,23707,A,CRTCAL,,
CROFTON CONSTRUCTION SERV,PMT1,16 HARPER AVENUE, , ,PORTSMOUTH,VA,23707,A,CRTCAL,,
CROFTON CONSTRUCTION SERV,1099,16 HARPER AVENUE, , ,PORTSMOUTH,VA,23707,A,CRTCAL,,
CROFTON DIVING CORP,ORD1,16 HARPER AVENUE,PO BOX 7756, ,PORTSMOUTH,VA,23707,A,CRTCAL,,
CROWLEY GOVERNMENT SERVIC,ORD1,9487 Regency Square Boulevard , , ,JACKSONVILLE,FL,32225,A,ELECTR,,
CTM MAGNETICS,SHIP1,710 W Geneva Drive, , ,Tempe,AZ,85282,A,CRTCAL,,
CTM MAGNETICS,ORD1,710 W Geneva Drive, , ,Tempe,AZ,85282,A,CRTCAL,,
CULPEPPER RADIATOR SERV,PMT1,3511 RACE STREET, , ,PORTSMOUTH,VA,23707,A,CRTCAL,,
CUMMINS ATLANTIC,ORD1,3729 Holland Blvd, , ,Chesapeake,VA,23323-0283,A,ELCTR,,
CUMMINS ATLANTIC,PMT,P.O. Box 741295 , , ,Atlanta ,GA,30384-1295,A,ELCTR,,
CUMMINS INC.,PMT2,PO BOX 403896, , ,ATLANTA,GA,30384-3896,A,ELCTR,,
CUMMINS INC.,PMT1,PO BOX 741295, , ,ATLANTA,GA,30384-1295,A,ELCTR,,
CUMMINS INC.,ORD1,3729 Holland Blvd., , ,CHESPEAKE,VA,23323,A,ELCTR,,
CURBELL PLASTICS,ORD1,10402 LAKERIDGE PKWY,STE 800, ,ASHLAND,VA,235005,A,PLSTIC,,
CURTISS-WRIGHT,ORD1,482 A STEWART ST., , ,ATLANTIC BEACH,FL,32233,A,CRTCAL,,
CURTISS-WRIGHT,PMT1,1101 CAVALIER BLVD., , ,CHESAPEAKE,VA,23323,A,CRTCAL,,
CUSTOM CONTROLS COMPANY,PMT1,5712 Yale Street, , ,Houston,TX,77076,A,EQUIP,,
CUSTOM INDUSTRIAL PROCESS,ORD1,336 State Street, , ,Saint Marys,PA,15857,A,CRTCAL,,
CUSTOM MACHINE & TOOL,ORD1,301 WINTER STREET, , ,HANOVER,MA,02339,A,CRTCAL,,
CUSTOM MARINE,ORD1,1315 COUNTY ROAD G, , ,NEENAH,WI,54956,A,CRTCAL,,
CUSTOM PANEL & CONTROLS,ORD1,504 Viking Drive, , ,Virginia Beach,VA,23452,A,CRTCAL,,
CUSTOM POWER SOLUTIONS,ORD1,1201 GILLETTE COURT, , ,CHESAPEAKE,VA,23323,A,CRTCAL,,
"CYBER-TECH, INC.",ORD1,7943 SW CIRRUS DRIVE, , ,BEAVERTON,OR,97008,A,ELCTRN,,
"CYBER-TECH, INC.",PMT1,PO Box 20801, , ,Portland,OR,97281-3801,A,ELCTRN,,
D.B. ROBERTS COMPANY,ORD1,"30 Upton Drive, Suite 3", , ,Wilmington,MA,01887,A,HDW,,
D.B. ROBERTS COMPANY,ORD2,"6520 Meridien Dr., Suite 100", , ,Raleigh,NC,27616,A,HDW,,
D.B. ROBERTS COMPANY,PMT 1,"D. B. Roberts, Inc.",d/b/a D. B. Roberts Company,PO BOX 405026,Atlanta,GA,30384-5026,A,HDW,,
D.B. ROBERTS COMPANY,ORD1,"6520 Meridien Dr., Suite 100", , ,RALEIGH,NC,27616,A,HDW,,
"D.B. ROBERTS, INC",ORD1,6520 MERIDIEN DR.,SUITE 100, ,RALEIGH,NC,27616,A,HDW,,
"D.B. ROBERTS, INC",PMT1,P.O. BOX 370018, , ,BOSTON,MA,02241-0718,A,HDW,,
"D.B. ROBERTS, INC",PMT2,P.O. BOX 405026, , ,ATLANTA,GA,30384-5026,A,HDW,,
D.W. BOYD CORPORATION,PMT1,4003 COLLEY AVENUE, , ,NORFOLK,VA,23508,A,EQUIP,,
DAIKIN,PMT 2,24827 NETWORK PLACE, , ,CHICAGO,IL,60673,A,EQUIP,,
DAIKIN,PMT1,1955 W. GRANT RD,SUITE 205, ,TUCSON,AZ,85745,A,EQUIP,,
DALE OLD WRECKER SERVICE,ORD1,900 Mt Pleasant Rd, , ,Chesapeake,VA,23322-2272,A,SUB,,
DANFOSS DRIVES,ORD1,4401 N Bell School Rd, , ,Loves Park,IL,61111,A,CRTCAL,,
DANFOSS DRIVES,PMT 1,DEPT CH 19492, , ,PALATINE,IL,60055-9492,A,CRTCAL,,
DANIELS MANUFACTURING,ORD1,526 Thorpe Road, , ,Orlando,FL,32824,A,TOOLS,,
DANIELS MANUFACTURING,PMT1,PO Box 593872, , ,Orlando,FL,32859-3872,A,TOOLS,,
DANN OCEAN TOWING,ORD1,3670 S Westshore Blvd, , ,TAMPA,FL,33629,A,CRTCAL,,
"DANNY'S  GLASS, INC.",PMT 1,112 INDUSTRY DRIVE, , ,YORKTOWN,VA,23693,A,GLASS,,
"DANO TECHNICS, INC.",ORD 1,813 KEELING DR, , ,CHESAPEAKE ,VA,23322,A,INSPCT,,
DARE MARINA & YACHT SALES,PMT1,821 RAILWAY ROAD, , ,YORKTOWN,VA,23692,A,MARINE,,
DATEXEL,PMT1,8901 SE COMPASS ISLAND WAY, , ,JUPITER,FL,33458,A,EQUIP,,
DATEXEL,1099,8901 SE COMPASS ISLAND WAY, , ,JUPITER,FL,33458,A,EQUIP,,
"DATREX, INC",ORD1,3525 NW 33RD STREET, , ,Miami,FL,33142,A,SAFETY,,
"DATREX, INC",PMT1,PO BOX 1537, , ,Kinder,LA,70648,A,SAFETY,,
"DAV-TECH PLATING, INC.",ORD1,40 CEDAR HILL STREET, , ,MARLBORO,MA,01752,A,CRTCAL,,
"DAV-TECH PLATING, INC.",PMT1,P.O. BOX 836, , ,MARLBORO,MA,01752,A,CRTCAL,,
DEIF INC.,ORD1,"3855 Precision Drive, #180", , ,Loveland,CO,80538,A,ELCTRN,,
DEIF INC.,PMT1,185 HANSEN COURT,SUITE 125, ,WOOD DALE,IL,60191,A,ELCTRN,,
DELAWARE ELEVATOR,ORD,2210 ALLEN DRIVE, , ,SALIBURY,MD,21801,A,INSPCT,,
DELTA T SYSTEMS,ORD1,858 W. 13th Ct., , ,Riviera Beach,FL,33404,A,TESTNG,,
DELVA TOOL & MACHINE CORP,PMT1,1911 ROWLAND STREET, , ,CINNAMINISON,NJ,08077,A,CRTCAL,,
DELVA TOOL & MACHINE CORP,ORD1,PO BOX 2249, , ,CINNAMININSON,NJ,08077,A,CRTCAL,,
DETEK ,301,"6805 Coolridge Dr., Ste 102", , ,Temple Hills ,MD,20748 ,A,TOOLS,,
DETROIT SWITCH,ORD1,1619D Diamond Springs Rd., , ,Virgia Beach,VA,23455,A,SWITCH,,
DETROIT SWITCH,ORD2,1025-33 BEAVER AVE., , ,PITTSBURGH,PA,15233,A,SWITCH,,
DIBERT VALVE,ORD1,4716 RICHNELL RD, , ,RICHMOND,VA,23231,A,FITTNG,,
DIBERT VALVE,PMT 1,PO BOX 7699, , ,RICHMOND,VA,23231,A,FITTNG,,
DIBERT VALVE & FITTING CO,ORD1,1174 LANCE ROAD, , ,NORFOLK,VA,23502,A,HDW,,
DIBERT VALVE & FITTING CO,PMT1,P.O. BOX 37280, , ,"RICHMOND,",VA,23234-7280,A,HDW,,
DIBERT VALVE & FITTING CO,PMT2,P.O. BOX 7699, , ,RICHMOND,VA,23231,A,HDW,,
DICA MARKETING ,ORD1,104 INDUSTRIAL RD , , ,GUTHRIE CENTER ,IA,50115,A,HDW,,
DICA MARKETING COMPANY,ORD1,104 Industrial Road, , ,Guthrie Center,,50115,A,TOOLS,,
DIESEL PRO POWER INC,ORD1,760 NW 4th STREET,SUITE#100 , ,MIAMI,FL,33128 ,A,ENGINE,,
DIGI-KEY CORPORATION,PMT,701 Brooks Ave., , ,South Thief River Falls,MN,56701,A,ELCTRN,,
DIGI-KEY CORPORATION,PMT 1,P.O. BOX 250, , ,THIEF RIVER FALLS,MN,56701-0250,A,ELCTRN,,
DIGIKEY,PMT1,PO BOX 250, , ,THIEF RIVER FALLS,MN,56701-0250,A,ELECTR,,
DIGIKEY CORPORATION,PMT 1,PO BOX 250, , ,THIEF RIVER FALLS,MN,56701,A,ELCTRN,,
DIGIKEY CORPORATION,ORD1,"701 Brooks Ave South,",PO Box 677, ,thief river falls,MN,56701-0677,A,ELCTRN,,
DILLON SUPPLY COMPANY,PMT1,PO BOX 896595, , ,CHARLOTTE,NC,28289-6595,A,HDW,,
DIRAK INC,ORD1,"22560 Glenn Drive, Suite 105", , ,Sterling,VA,20164,A,HINGES,,
DIRAK INC,PMT 1,PO BOX 822493, , ,PHILADELPHIA,PA,19182,A,HINGES,,
DISTRIBUTION INTERNATIONA,ORD1,603 HOWMET DRIVE, , ,HAMPTON,VA,23661,A,INSUL,,
DISTRIBUTION INTERNATIONA,PMT3,PO BOX 840894, , ,DALLAS,TX,75284-0894,A,INSUL,,
DISTRIBUTION INTL,ORD1,603 HOWMET DRIVE, , ,HAMPTON,VA,23661,A,INSUL,,
DISTRIBUTION INTL,PMT1,PO BOX 840894, , ,DALLAS,TX,75284,A,INSUL,,
DLS ELECTRONICS SYSTEMS,ORD1,1250 PETERSON DRIVE, , ,WHEELING,IL,60090,A,CRTCAL,,
"DMAC COATINGS, LLC",PMT 1,PO BOX 904, , ,EVERETT,WA,98206,A,PAINT,,
DOMESTIC FUELS & LUBES,ORD1,400 Freeman Ave, , ,Chesapeake,VA,23327,A,FUEL,,
DOMESTIC FUELS & LUBES,PMT 2,PO BOX 1313, , ,CHESAPEAKE,VA,23327,A,FUEL,,
DOMESTIC FUELS & LUBES,PMT1,PO Box 2144, , ,Chesapeake,VA,23327,A,FUEL,,
"DONOVAN MARINE, INC",ORD1,6600 MURRAY ST,SUITE 1, ,LITTLE ROCK,AR,72209,A,MARINE,,
DONTECH INC,ORD1,700 Airport Blvd., , ,Doylestown,PA,18902-1036,A,EQUIP,,
DONTECH INC,PMT1,P.O. Box 889,700 Airport Blvd, ,Doylestown,PA,18902-1036,A,EQUIP,,
DOOR ENGINEERING CO,ORD1,1234 Ballentine Blvd., , ,Norfolk,VA,23504,A,ELECTR,,
DOWN RIVER PRESERVATION,ORD1,403 SPARROW RD, , ,CHESAPEAKE,VA,23325,A,CRTCAL,,
DOWN RIVER PRESERVATION,PMT1,PO BOX 5145, , ,CHESAPEAKE,VA,23324,A,CRTCAL,,
DP WELDING,ORD1,834 Wyemouth Dr, , ,Newport News,VA,23602,A,WELD,,
DP WELDING,PMT1,834 WYEMOUTH DR, , ,NEWPORT NEWS,VA,23602,A,WELD,,
DPI MARINE INC.,ORD1,1200 ABBOTT DR., , ,ELGIN,IL,60123,A,ELCTR,,
DRACO SPRING,PMT1,PO BOX 4346,DEPT 577, ,HOUSTON,TX,77210-4346,A,SPRING,,
DRIVELINE SERVICE OF PORT,ORD1,9041 N.E. Vancouver , , ,PORTLAND,OH, ,A,TOOLS,,
DRS TRAINING & CONTROL,PMT 1,PO BOX 100543, , ,ATLANTA,GA,30384-0543,A,ELECTR,,
DRS TRAINING & CONTROL,ORD1,645 Anchors St., , ,Fort Walton Beach,FL,32566,A,ELECTR,,
DURAMAX MARINE,PMT1,17990 GREAT LAKES PARKWAY, , ,HIRAM,OH,44234-9681,A,MARINE,,
DXP ENTERPRISES INC.,ORD1,9004 YELLOW BRICK ROAD SUITE G, , ,BALTIMORE,MD,21237,A,SHIP,,
DXP ENTERPRISES INC.,PMT1,P.O. BOX 201791, , ,DALLAS,TX,75320-1791,A,SHIP,,
DYNALEC,ORD1,87 WEST MAIN STREET,PO BOX 188, ,SODUS,NY,14551,A,MANUF,,
DYNALEC,PMT1,PO BOX 188, , ,SODUS,NY,14551,A,MANUF,,
E-LABS INC,ORD 1,5150 LAD LAND DRIVE, , ,FREDERICKSBURG,VA,22407,A,CRTCAL,,
E.T. GRESHAM COMPANY INC,23517,1038 W 26th St, , ,NORFOLK,VA,23517,A,SUB,,
E.T. GRESHAM COMPANY INC,PMT 1,PO BOX 1077, , ,NORFOLK,VA,23501,A,SUB,,
EAO,ORD1,One Parrott Drive, , ,Shelton,VA,06484,A,ELCTRN,,
EAST COAST REPAIR & FAB,ORD1,5803 Curlew Drive, , ,Norfolk,VA,23501,A,CRTCAL,,
EAST COAST REPAIR & FAB,PMT1,P.O. Box 13687, , ,Chesapeake,VA,23325-0687,A,CRTCAL,,
EAST COAST VALVE SERVICE,ORD1,3744 Cook Blvd, , ,Chesapeake,VA,23323,A,VALVES,,
EASTERN BURLAP,ORD1,834 WEST 25TH ST., , ,NRFOLK,VA,23517,A,SUPPL,,
EASTERN MACH & HYDRAULIC,PMT1,PO BOX 3090, , ,WILLIAMSBURG,VA,23187,A,TOOLS,,
ECI DEFENSE GROUP ,ORD1,7654 HIGHWAY 7, , ,LYLES ,TN,37098,A,EQUIP,,
ECLIPSE MARINE,ORD1,9257 Dixon Road, , ,Suffolk,VA,23433,A,ELECT,,
ECONSTEEL SUPPLY,PMNT 1,P.O. BOX 1818, , ,ERIE,PA,16512,A,STL,,
ECONSTEEL SUPPLY,ORD1,1301 Cranberry St., , ,Erie,PA,16501,A,STL,,
EDGE ELECTRONICS,ORD1,75 Orville Dr.,Unit 2, ,Bohemia,NY,11716,A,ELCTRN,,
EFFECTIVE SHIELDING CO.,REMIT,817 Lincoln Ave., , ,West Chester,PA,19380,A,CRTCAL,,
EIS INC,ORD1,3400 E Woodpark Blvd, , ,Charlotte,NC,28206,A,ELCTRN,,
EIS INC,PMT1,File 98059,PO Box 98059, ,Chicago,IL,60693-8059,A,ELCTRN,,
EK BLASTING & PAINTING,ORD1,834 Carew Road, , ,VIRGINIA BEACH,VA,23462,A,CRTCAL,,
"ELECDIRECT.COM, LLC",ORD1,9-6311 Inducon Corporate Drive, , ,SANBORN,NY,14132,A,HDW,,
ELECTRIC MOTOR,ORD!,3703 Cook Blvd, , ,Chesapeake,VA,23323,A,MOTOR,,
ELECTRIC MOTOR,PMT 1,3728 Profit Way, , ,Chesapeake,VA,23323-1603,A,MOTOR,,
ELECTRIC MOTOR & CONTRACT,ORD1,3703 Cook Blvd., , ,CHESAPEAKE,VA,23323,A,MOTOR,,
ELECTRICAL & MECHANICAL,ORD1,4640 INTERNATIONAL TRADE COURT, , ,RICHMOND,VA,23231,A,ELECTR,,
ELECTRICAL EQUIPMENT CO,ORD1,1807 Boulevard West, , ,RICHMOND,VA,23230,A,ELCTR,,
ELECTRICAL EQUIPMENT CO,ORD1,3798 Village Ave, , ,Norfolk,VA,23502,A,ELCTRN,,
ELECTRICAL EQUIPMENT CO,ORD2,802 Blue Crab Road, , ,Newport News,VA,23606,A,ELCTRN,,
ELECTRICAL EQUIPMENT CO,PMT1,3798 Village Ave, , ,Norfolk,VA,23502,A,ELCTRN,,
ELECTRICAL EQUIPMENT CO,PMT2,PO Box 603392, , ,Charlotte,NC,28260-3392,A,ELCTRN,,
ELECTRICAL EQUIPMENT CO,REMIT,P.O. Box 37339, , ,Raleigh,NC,27627-7339,A,ELCTRN,,
ELECTRICAL EQUIPMENT CO,PMT2,PO BOX 746917, , ,ATLANTA,GA,30374-6917,A,ELCTR,,
ELECTRICAL EQUIPMENT CO,PMT3,PO BOX 746917, , ,ATLANTA,GA,30374-6917,A,ELCTRN,,
ELECTRICAL EQUIPMENT CO,PMT1,PO BOX 603392, , ,CHARLOTTE,NC,28260-3392,A,ELCTR,,
ELECTRICAL HUB,ORD1,"10821 47th Ave W, Suite A", , ,Mukilteo,WA,98275,A,ELECTR,,
ELECTRO ENTERPRISES INC.,PMT 3,PO BOX 659506,SECTION 4112, ,SAN ANTONIO,TX,78265-9506,A,ELCTRN,,
ELECTRO ENTERPRISES INC.,PMT 2,PO BOX 26706,SECTION 4112, ,OKC,OK,73126-0706,A,ELCTRN,,
ELECTRO ENTERPRISES INC.,PMT1,3601 North I-35, , ,Oklahoma City,OK,73111,A,ELCTRN,,
ELECTRO RENT CORPORATION,ORD1,"1770 CORPORATE DRIVE, SUITE 550", , ,NORCROSS,GA,30093,A,EQUIP,,
ELECTRO RENT CORPORATION,PMT1,27315 NETWORK PLACE, , ,CHICAGO,IL,60673,A,EQUIP,,
ELECTRONIC CONCEPTS,ORD1,526 Industrial Way West, , ,Eatontown,NJ,07724,A,CRTCAL,,
ELECTRONIC CONCEPTS,PMT1,PO BOX 1278, , ,EATONTOWN,NJ,07724,A,CRTCAL,,
ELECTRONIC MARINE SYSTEMS,ORD1,800 FERNDALE PLACE, , ,RAHWAY,NJ,73396,A,ELECTR,,
ELECTRONIC MARINE SYSTEMS,PMT1,800 FERNDALE PLACE, , ,RAHWAY ,NJ,73396,A,ELECTR,,
"EM SHIP REPAIR, LLC",ORD1,7419 Sewells Point Rd,Suite B, ,Norfolk,VA,23513,A,CRTCAL,,
EMANON AIRCRAFT,ORD2,1742 W. KATERLLA AVENUE,SUITE 4, ,ORANGE,CA,92867,A,HDW,,
EMANON AIRCRAFT,ORD1,404 S. LAKE STREET, , ,BURBANK,CA,91502,A,HDW,,
EMCO INDUSTRIAL PLASTICS,ORD1,99 Commerce Road, , ,Cedar Grove,NJ,07009,A,PLASTC,,
EMCO INDUSTRIAL PLASTICS,PMT,PO BOX 2503, , ,Cedar Grove,NJ,07009,A,PLASTC,,
EMPIRE SCAFFOLDING SERV.,ORD1,831 Industrial Avenue, , ,Chesapeake,VA,23324,A,SCAFF,,
EMS DEVELOPMENT,ORD1,95 Horseblock Rd,Unit 2, ,Yaphank,NY,11980,A,MAGNET,,
EMS ICE,ORD1,101 Liberty St, , ,Chesapeake,VA,23324,A,VENT,,
EMS ICE,PMT 1,PO BOX 1671, , ,CHESAPEAKE,VA,23327,A,VENT,,
EMS INDUSTRIAL  INC.,PMT1,807 LIVE OAK DRIVE, , ,CHESAPEAKE,VA,23320-2602,A,CRTCAL,,
EMS INDUSTRIAL  INC.,ORD1,802 LIVE OAK DRIVE, , ,CHESAPEAKE,VA,23320,A,CRTCAL,,
ENDRESS + HAUSER,ORD1,8807 Whitepine Road, , ,Richmond,VA,23237,A,ENGNR,,
ENDRESS + HAUSER,PMT 1,DEPT 78795,P.O. BOX 78000, ,DETROIT,MI,48278-0795,A,ENGNR,,
ENDRESS + HAUSER,REMIT,P.O. Box 663674, , ,Indianapolis,IN,46266-3674,A,ENGNR,,
ENECON HAMPTON ROADS INC.,PYMT 1,P.O. BOX 4009, , ,PORTSMOUTH,VA,23701,A,CRTCAL,,
ENECON HAMPTON ROADS INC.,ORD1,624 Dunedin Rd, , ,PORTSMOUTH,VA,23701,A,CRTCAL,,
ENERGY & PROCESS CORP,ORD1,2146-B FLINTSTONE DRIVE, , ,TUCKER,GA,30084,A,AL/STL,,
ENERGY & PROCESS CORP,PMT1,PO BOX 125, , ,TUCKER,GA,30085,A,AL/STL,,
"ENERGY EQUIPMENT, INC.",ORD/PMT,1633 OAK LAKE BLVD., , ,MIDLOTHIAN,VA,23112,A,ELECT,,
"ENERGY EQUIPMENT, INC.",ORD1,1633 OAK LAKE BLVD., , ,MIDLOTHIAN,VA,23112,A,ELECT,,
ENFASCO,ORD1,1675 HYLTON RD, , ,PENNSAUKEN,NJ,08110-1313,A,HDW,,
ENGINEERING TECH SERVICES,ORD1,1604 ELLSBURG ST, , ,VIRGINIA BEACH,VA,23464,A,CRTCAL,,
ENGINETEC INC,ORD1,1397 TAYLOR FARM ROAD, , ,VIRGINIA BEACH,VA,23453,A,CRTCAL,,
ENVIRONMENTAL PRODUCTS ,ORD1,57 W. Timonium Rd,Ste 303, ,Timonium,MD,21093,A,ELECTR,,
EPSILON SYSTEM SOLUTIONS,ORD1,9242 Lightwave Ave,Ste 100, ,San Diego,CA,92123,A,CRTCAL,,
EQUIPMENTSHARE,PMT1,P.O. BOX 2214, , ,DECATUR,AL,35609,A,CRTCAL,,
EQUIPMENTSHARE,ORD1,740 S. Military Hwy, , ,VIRGINIA BEACH,VA,23464,A,CRTCAL,,
ESSENTRA COMPONENTS,PMT 3,PO BOX 3384, , ,CAROL STREAM,IL,60132,A,HDW,,
ESSENTRA COMPONENTS,ORD 1,Formerly Reid Supply,1269 E Mt Garfield Ste E, ,Norton Shores,MI,49441,A,HDW,,
ESSENTRA COMPONENTS,PMT 1,62919 Collection Center Drive, , ,Chicago,IL,60693-0629,A,HDW,,
ESSENTRA COMPONENTS,PMT 2,12660 Collections Center Drive, , ,Chicago,IL,60693,A,HDW,,
ESTERLINE,ORD1,6900 ORANGETHORPE AVE., , ,BUENA PARK,CA,90620,A,ELCTRN,,
ESTERLINE,PMT1,DEPT. 9486, , ,LOS ANGELES,CA,90084-9486,A,ELCTRN,,
ET GRESHAM COMPANY,PMT1,P.O. BOX 1077, , ,NORFOLK,VA,23501,A,CRTCAL,,
ET GRESHAM COMPANY,ORD1,1038 WEST 26TH STREET , , ,NORFOLK,VA,23517,A,CRTCAL,,
ETL SYSTEMS LTD,CM7,40A SPRINGWOOD DRIVE,"BRAINTREE, ESSEX", , ,, ,A,ELECTR,,
EVOQUA WATER TECHNOLOGIES,-PMT2,28563 Network Place, , ,Chicago,IL,60673-1285,A,CRTCAL,,
EVOQUA WATER TECHNOLOGIES,PMT1,2 MILLTOWN CT, , ,UNION,NJ,07083,A,CRTCAL,,
EXLOC,ORD1,19006 Crossroad Parkway, , ,Culpeper,VA,22701,A,ELCTRN,,
EXLOC,ORD2,15584 Summit Park Drive Sutie 303, , ,Montgomery,TX,77356,A,ELCTRN,,
EXPRESS INC,ORD1,9155 ,TRADE PLACE, ,SAN DIEGO,CA,92129,A,CRTCAL,,
EXPRESS INC.,ORD1,9155 TRADE PLACE, , ,SAN DIEGO,CA,92129,A,CRTCAL,,
F.H.GASKINS CO.  INC.,PMT1,P.O. BOX 1499, , ,NORFOLK,VA,23501-1499,A,VALVES,,
F.H.GASKINS CO.  INC.,ORD1,2419 Church St., , ,Norfolk,VA,23501-1499,A,VALVES,,
FABRITECH INC,ORD1,"20 Hagerty Blvd., Unit 2", , ,West Chester,PA,19382,A,CRTCAL,,
FABRITECH INC,PMT 2,P.O. BOX 80422, , ,CITY OF INDUSTRY,CA,91716-8422,A,CRTCAL,,
FABRITECH INC,PMT1,P.O. BOX 27779, , ,SANTA ANA,CA,92799,A,CRTCAL,,
"FAIRBANKS MORSE, LLC",ORD2,701 WHITE AVENUE, , ,BELOIT,WI,53511,A,CRTCAL,,
"FAIRBANKS MORSE, LLC",ORD1,981 SCOTT STREET, , ,NORFOLK,VA,23502,A,CRTCAL,,
FAIRLEAD INTEGRATED POWER,ORD1,912 VENTURES WAY, , ,CHESAPEAKE,VA,23320,A,SUB,,
FAR PACKAGING,PMT1,2905 AIR PARK ROAD, , ,FUQUAY VARINA,NC,27526,A,PACK,,
FARMERS COPPER,ORD1,202 37G STREET,PO BOX 2649, ,GALVESTON,TX,77553,A,CU,,
FARMERS COPPER,ORD2,99000 EMMETT F LOWRY EXPRESSWAY, , ,TEXAS CITY,TX,77591,A,CU,,
FARMERS COPPER,ORD1,99000 EMMETT F LOWRY EXPRESSWAY, , ,TEXAS CITY,TX,77591,A,CU,,
FARWEST PAINT MFG,ORD1,4522 S 133rd St, , ,TUKWILA,WA,98168,A,PAINT,,
FASSMER SERVICE AMERICA,ORD1,3650 NW 15th Street , , ,LAUDERHILL,FL,33311,A,CRTCAL,,
FASTENAL,PMT1,PO BOX 1286, , ,WINONA,MN,55987-1286,A,HDW,,
FASTENAL COMPANY,ORD1,1244 Executive Blvd.,Suite 103A, ,Chesapeake,VA,23320,A,HDW,,
FASTENAL COMPANY,ORD2,2301 Cosgrove Avenue, , ,Charleston,SC,29405,A,HDW,,
FASTENAL COMPANY,ORD3,"7178 Cross Country Road, Suite 101", , ,North Charleston,SC,29418,A,HDW,,
FASTENAL COMPANY,ORD4,1120 Bay Blvd. Suite D, , ,Chula Vista,CA,91911,A,HDW,,
FASTENAL COMPANY,ORD5,6650 N. Basin Avenue, , ,Portland,OR,97217,A,HDW,,
FASTENAL COMPANY,ORD6,1011 25th Street, , ,San Francisco,CA,94107,A,HDW,,
FASTENAL COMPANY,ORD7,3713 Lakeside Ct. , , ,Mobile,AL,36693,A,HDW,,
FASTENAL COMPANY,ORD8,602 PORT CENTRE PKWY, , ,Portsmouth,VA,23704,A,HDW,,
FASTENAL COMPANY,PMT1,P.O. Box 1286 , , ,Winona,MN,55987-1286,A,HDW,,
FASTENAL COMPANY,PMT1,PO BOX 1286, , ,WINONA,MN,55987,A,HDW,,
FASTENAL COMPANY,VICTORY,4007 SEABOARD COURT,SUITE 5-7, ,PORTSMOUTH,VA,23701,A,HDW,,
FASTENAL COMPANY,NNEWS,408 Aberdeen Rd, , ,HAMPTON,VA,23661,A,HDW,,
FASTENAL COMPANY,ORD9,408 Aberdeen Rd, , ,Hampton,VA,23661,A,HDW,,
FASTENAL COMPANY,PMT 1,3924 PORTSMOUTH BLVD, , ,CHESAPEAKE,VA,23321,A,HDW,,
FEDERAL EQUIPMENT COMPANY,ORD1,5298 River Road, , ,Cincinnati,OH,45233,A,SHPBRD,,
FEDEX,PMT1,PO BOX 371461, , ,PITTSBURGH,PA,15250-7461,A,FRGHT,,
