Date,Price
2002-03-01,128.7
2002-04-01,128.7
2002-05-01,128.6
2002-06-01,128.4
2002-07-01,128.4
2002-08-01,128.4
2002-09-01,128.5
2002-10-01,129.9
2002-11-01,129.8
2002-12-01,129.6
2003-01-01,129.7
2003-02-01,129.8
2003-03-01,130.2
2003-04-01,130.4
2003-05-01,129.9
2003-06-01,129.8
2003-07-01,129.8
2003-08-01,129.9
2003-09-01,132.0
2003-10-01,132.3
2003-11-01,132.3
2003-12-01,132.7
2004-01-01,132.7
2004-02-01,133.4
2004-03-01,133.8
2004-04-01,134.1
2004-05-01,134.2
2004-06-01,134.4
2004-07-01,134.4
2004-08-01,134.7
2004-09-01,134.9
2004-10-01,135.4
2004-11-01,136.8
2004-12-01,136.6
2005-01-01,136.7
2005-02-01,137.0
2005-03-01,137.4
2005-04-01,137.5
2005-05-01,138.2
2005-06-01,139.1
2005-07-01,139.9
2005-08-01,141.8
2005-09-01,142.6
2005-10-01,143.9
2005-11-01,143.8
2005-12-01,143.6
2006-01-01,144.2
2006-02-01,147.5
2006-03-01,148.6
2006-04-01,148.6
2006-05-01,150.9
2006-06-01,151.9
2006-07-01,152.4
2006-08-01,154.3
2006-09-01,154.4
2006-10-01,154.2
2006-11-01,153.6
2006-12-01,153.1
2007-01-01,153.5
2007-02-01,155.8
2007-03-01,155.9
2007-04-01,157.7
2007-05-01,159.2
2007-06-01,159.4
2007-07-01,161.2
2007-08-01,160.7
2007-09-01,162.4
2007-10-01,162.9
2007-11-01,165.1
2007-12-01,166.4
2008-01-01,166.0
2008-02-01,167.9
2008-03-01,169.8
2008-04-01,171.6
2008-05-01,173.2
2008-06-01,177.9
2008-07-01,187.5
2008-08-01,186.7
2008-09-01,188.6
2008-10-01,183.0
2008-11-01,179.9
2008-12-01,178.7
2009-01-01,177.5
2009-02-01,174.3
2009-03-01,171.4
2009-04-01,170.8
2009-05-01,167.4
2009-06-01,165.9
2009-07-01,156.2
2009-08-01,158.6
2009-09-01,156.6
2009-10-01,155.4
2009-11-01,156.7
2009-12-01,156.9
2010-01-01,157.2
2010-02-01,157.7
2010-03-01,157.3
2010-04-01,158.8
2010-05-01,159.3
2010-06-01,163.2
2010-07-01,164.1
2010-08-01,164.9
2010-09-01,169.4
2010-10-01,169.5
2010-11-01,172.5
2010-12-01,172.9
2011-01-01,170.0
2011-02-01,171.5
2011-03-01,169.7
2011-04-01,172.2
2011-05-01,170.4
2011-06-01,174.7
2011-07-01,172.8
2011-08-01,173.2
2011-09-01,171.8
2011-10-01,172.0
2011-11-01,174.9
2011-12-01,175.6
2012-01-01,174.8
2012-02-01,174.0
2012-03-01,174.0
2012-04-01,174.0
2012-05-01,176.6
2012-06-01,177.4
2012-07-01,177.7
2012-08-01,176.8
2012-09-01,177.8
2012-10-01,182.8
2012-11-01,186.9
2012-12-01,181.9
2013-01-01,182.9
2013-02-01,176.5
2013-03-01,178.2
2013-04-01,176.0
2013-05-01,175.3
2013-06-01,173.6
2013-07-01,174.7
2013-08-01,173.7
2013-09-01,175.6
2013-10-01,176.4
2013-11-01,178.3
2013-12-01,174.3
2014-01-01,176.0
2014-02-01,173.9
2014-03-01,175.2
2014-04-01,174.5
2014-05-01,174.1
2014-06-01,172.3
2014-07-01,174.0
2014-08-01,176.3
2014-09-01,178.6
2014-10-01,172.4
2014-11-01,172.6
2014-12-01,173.9
2015-01-01,171.0
2015-02-01,161.2
2015-03-01,162.8
2015-04-01,160.2
2015-05-01,161.4
2015-06-01,158.8
2015-07-01,160.8
2015-08-01,161.5
2015-09-01,163.3
2015-10-01,160.4
2015-11-01,162.7
2015-12-01,160.7
2016-01-01,164.0
2016-02-01,160.3
2016-03-01,166.8
2016-04-01,163.8
2016-05-01,160.0
2016-06-01,164.3
2016-07-01,165.6
2016-08-01,163.5
2016-09-01,165.2
2016-10-01,168.9
2016-11-01,165.6
2016-12-01,163.6
2017-01-01,167.3
2017-02-01,163.1
2017-03-01,165.4
2017-04-01,167.3
2017-05-01,167.8
2017-06-01,162.3
2017-07-01,167.8
2017-08-01,164.1
2017-09-01,164.0
2017-10-01,166.4
2017-11-01,170.3
2017-12-01,169.7
2018-01-01,169.5
2018-02-01,168.8
2018-03-01,170.6
2018-04-01,169.2
2018-05-01,173.3
2018-06-01,173.5
2018-07-01,174.3
2018-08-01,172.4
2018-09-01,171.8
2018-10-01,177.3
2018-11-01,168.3
2018-12-01,162.8
2019-01-01,167.1
2019-02-01,170.8
2019-03-01,176.4
2019-04-01,172.0
2019-05-01,176.7
2019-06-01,176.9
2019-07-01,176.7
2019-08-01,178.1
2019-09-01,177.9
2019-10-01,178.4
2019-11-01,178.2
2019-12-01,178.2
2020-01-01,178.4
2020-02-01,178.2
2020-03-01,177.4
2020-04-01,176.3
2020-05-01,175.5
2020-06-01,175.2
2020-07-01,178.6
2020-08-01,178.6
2020-09-01,178.6
2020-10-01,178.6
2020-11-01,178.6
2020-12-01,176.9
2021-01-01,178.3
2021-02-01,179.1
2021-03-01,184.2
2021-04-01,185.2
2021-05-01,182.4
2021-06-01,191.1
2021-07-01,192.336
2021-08-01,191.72
2021-09-01,190.906
2021-10-01,190.906
2021-11-01,190.906
2021-12-01,192.268
2022-01-01,192.133
2022-02-01,193.013
2022-03-01,203.525
2022-04-01,206.085
2022-05-01,206.459
2022-06-01,207.035
2022-07-01,207.496
2022-08-01,206.847
2022-09-01,206.271
2022-10-01,209.48
2022-11-01,209.711
2022-12-01,209.596
2023-01-01,217.287
2023-02-01,223.068
2023-03-01,221.265
2023-04-01,221.153
2023-05-01,227.892
2023-06-01,228.212
2023-07-01,228.212
